timestamp,open,high,low,close,volume
2026-05-14 00:00:00+00:00,96.38500926787653,96.38500926787653,96.38500926787653,96.38500926787653,290900699.7390448
2026-05-14 01:00:00+00:00,97.19153958864304,97.19153958864304,97.19153958864304,97.19153958864304,292841972.1212981
2026-05-14 02:00:00+00:00,97.37509798706108,97.37509798706108,97.37509798706108,97.37509798706108,290235416.8801439
2026-05-14 03:00:00+00:00,96.67207852073183,96.67207852073183,96.67207852073183,96.67207852073183,288376541.77310747
2026-05-14 04:00:00+00:00,95.51507855486642,95.51507855486642,95.51507855486642,95.51507855486642,286637316.9033502
2026-05-14 05:00:00+00:00,96.20294234979407,96.20294234979407,96.20294234979407,96.20294234979407,290919749.56515115
2026-05-14 06:00:00+00:00,97.12085725765985,97.12085725765985,97.12085725765985,97.12085725765985,292248587.55534595
2026-05-14 07:00:00+00:00,96.99530677462309,96.99530677462309,96.99530677462309,96.99530677462309,287706076.16406053
2026-05-14 08:00:00+00:00,96.42570303982531,96.42570303982531,96.42570303982531,96.42570303982531,289346510.7250527
2026-05-14 09:00:00+00:00,96.59339747291766,96.59339747291766,96.59339747291766,96.59339747291766,288478923.99581885
2026-05-14 10:00:00+00:00,96.45508529287552,96.45508529287552,96.45508529287552,96.45508529287552,282137744.289699
2026-05-14 11:00:00+00:00,96.62302691755507,96.62302691755507,96.62302691755507,96.62302691755507,276952608.6191083
2026-05-14 12:00:00+00:00,96.24633022358718,96.24633022358718,96.24633022358718,96.24633022358718,272341362.1019242
2026-05-14 13:00:00+00:00,97.21712328861601,97.21712328861601,97.21712328861601,97.21712328861601,267709403.02524334
2026-05-14 14:00:00+00:00,96.87064666551169,96.87064666551169,96.87064666551169,96.87064666551169,255097414.29079187
2026-05-14 15:00:00+00:00,99.0845114665553,99.0845114665553,99.0845114665553,99.0845114665553,259180584.35012332
2026-05-14 16:00:00+00:00,99.12575398664059,99.12575398664059,99.12575398664059,99.12575398664059,259277397.1670087
2026-05-14 17:00:00+00:00,99.67618505761845,99.67618505761845,99.67618505761845,99.67618505761845,256596251.15485865
2026-05-14 18:00:00+00:00,99.64349382710488,99.64349382710488,99.64349382710488,99.64349382710488,257843520.66960266
2026-05-14 19:00:00+00:00,100.60245301196024,100.60245301196024,100.60245301196024,100.60245301196024,260304897.22666618
2026-05-14 20:00:00+00:00,99.92775114950037,99.92775114950037,99.92775114950037,99.92775114950037,262757986.31194422
